name,line
Kanye,"Sing 'til the power of the Lord comes down
"
Kanye,"God is King, we the soldiers
"
Kanye,"Ultrabeam out the solar
"
Kanye,"When I get to Heaven's gates
"
Kanye,"I ain’t gotta peek over
"
Kanye,"Keepin' perfect composure
"
Kanye,"When I scream at the chauffeur
"
Kanye,"I ain't mean, I’m just focused
"
Kanye,"I ain't mean, I'm just focused
"
Kanye,"Pour the lean out slower
"
Kanye,"Got us clean out of soda
"
Kanye,"Before the flood, people judge
"
Kanye,"They did the same thing to Noah
"
Kanye,"Everybody wanted Yandhi
"
Kanye,"Then Jesus Christ did the laundry
"
Kanye,"They say the week start on Monday
"
Kanye,"But the strong start on Sunday
"
Kanye,"Won't be in bondage to any man
"
Kanye,"John 8:33
"
Kanye,"We the descendants of Abraham
"
Kanye,"Ye should be made free
"
Kanye,"John 8:36
"
Kanye,"To whom the son set free is free indeed
"
Kanye,"He saved a wretch like me
"
Kanye,"Hallelujah, hallelujah, hallelujah, hallelujah
"
Kanye,"Hallelujah, He is wonderful
"
Kanye,"If you woke, then wake up
"
Kanye,"With Judas, kiss and make up
"
Kanye,"Even with the bitter cup
"
Kanye,"Forgave my brothers and drank up
"
Kanye,"Did everything but gave up
"
Kanye,"Stab my back, I can't front
"
Kanye,"Still we win, we prayed up
"
Kanye,"Ain't no wantin', no, we need it
"
Kanye,"The powers that be done been greedy
"
Kanye,"We need ours by this evening
"
Kanye,"No white flag or no treaty
"
Kanye,"We got the product, we got the tools
"
Kanye,"We got the minds, we got the youth
"
Kanye,"We goin' wild, we on the loose
"
Kanye,"People is lying, we are the truth
"
Kanye,"Everything old shall now become new
"
Kanye,"The leaves’ll be green, bearing the fruit
"
Kanye,"Love God and our neighbor, as written in Luke
"
Kanye,"The army of God and we are the truth
"
Kanye,"Wah, woo, wah, woo, woo, woo, woo, woo
"
Kanye,"Woo, woo, woo, woo, woo, woo, woo, woo
"
Kanye,"Wah, woo, wah, woo, woo, woo, woo
"
Kanye,"Father, I stretch
"
Kanye,"Stretch my hands to You
"
Kanye,"Lifelike, this is what your life like, try to live your life right
"
Kanye,"People really know you, push your buttons like typewrite
"
Kanye,"This is like a movie, but it's really very lifelike
"
Kanye,"Every single night, right, every single fight, right?
"
Kanye,"I was looking at the 'Gram and I don't even like likes
"
Kanye,"I was screamin' at my dad, he told me, ""It ain't Christ-like""
"
Kanye,"I was screamin' at the referee just like Mike
"
Kanye,"Lookin' for a bright light, Sigel, what your life like
"
Kanye,"Pressin' on the gas, supernova for a night light
"
Kanye,"Screamin' at my dad and he told me, ""It ain't Christ-like""
"
Kanye,"But nobody never tell you when you're being like Christ
"
Kanye,"Only ever seein' me only when they needin' me
"
Kanye,"Like if Tyler Perry made a movie for BET
"
Kanye,"Searchin' for a deity, now you wanna see it free
"
Kanye,"Now you wanna see if we, let's just see if three apiece
"
Kanye,"Tell me what your life like, turn it down, a bright light
"
Kanye,"I'm just tryna find, l've been lookin' for a new way
"
Kanye,"I'm just really tryin' not to really do the fool way
"
Kanye,"I don't have a cool way, bein' on my best, though
"
Kanye,"Block 'em on the text though, nothin' else next though
"
Kanye,"Wrestlin' with God, I don't really want to wrestle
"
Kanye,"Arguing with my dad, and he said, ""It ain't Christ-like""
"
Kanye,"Man
"
Kanye,"You know, it's like
"
Kanye,"Somebody only close who can get you, like, off your
"
Kanye,"I be on my
"
Kanye,"I woke up this morning, I said my prayers
"
Kanye,"Give him some advice, he starts spazzin' on me
"
Kanye,"I start spazzin' back, He said ""That ain't Christ-like""
"
Kanye,"I said, ""Ahhh""
"
Kanye,"Closed on Sunday, you're my Chick-fil-A
"
Kanye,"Closed on Sunday, you my Chick-fil-A
"
Kanye,"Hold the selfies, put the 'Gram away
"
Kanye,"Get your family, y'all hold hands and pray
"
Kanye,"When you got daughters, always keep 'em safe
"
Kanye,"Watch out for vipers, don't let them indoctrinate
"
Kanye,"You're my number one, with the lemonade
"
Kanye,"Raise our sons, train them in the faith
"
Kanye,"Through temptations, make sure they're wide awake
"
Kanye,"Follow Jesus, listen and obey
"
Kanye,"No more livin' for the culture, we nobody's slave
"
Kanye,"Stand up for my home
"
Kanye,"Even if I take this walk alone
"
Kanye,"I bow down to the King upon the throne
"
Kanye,"My life is His, I'm no longer my own
"
Kanye,"I pray to God that He'll strengthen my hand
"
Kanye,"They will think twice steppin' onto my land
"
Kanye,"I draw the line, it's written in the sand
"
Kanye,"Try me and you will see that I ain't playin'
"
Kanye,"Now, back up off my family, move your hands
"
Kanye,"I got my weapons in the spirit's land
"
Kanye,"I, Jezebel don't even stand a chance
"
Kanye,"Jezebel don't even stand a chance
"
Kanye,"Chick-fil-A
"
Kanye,"Yo, Pi'erre, yo, Pi'erre
"
Kanye,"""How you get so much favor on your side?""
"
Kanye,"""Accept Him as your Lord and Saviour,"" I replied
"
Kanye,"Thou shalt love thy neighbor, not divide
"
Kanye,"I'ma ride, that's on God
"
Kanye,"His light shine the brightest in the dark
"
